mot,frequence,categorie_suggestion (à remplir)
"uber",80,
"modern ui sound",80,
"wiggle",79,
"short duration",79,
"long tail",79,
"liquid & mud",79,
"steam",79,
"rails",79,
"mare",79,
"dish",79,
"neigh",79,
"food &amp; drink",79,
"dead",78,
"rotation",78,
"charge",78,
"crunchy",78,
"terminal",78,
"shuffling",78,
"drive by",78,
"rpm",78,
"rusty",78,
"pocket",78,
"camping",78,
"start forward",78,
"smartphone",78,
"shard",77,
"beginning",77,
"clocks",77,
"launch",77,
"skating",77,
"goblin",77,
"buzz & hum",77,
"amp",76,
"rhythm",76,
"character",76,
"singing",76,
"fx",76,
"upright bass",76,
"electric upright bass",76,
"bassist",76,
"frequent",76,
"step",76,
"crush",76,
"landing",76,
"giant",76,
"4m distance",76,
"gloves",76,
"cooker",76,
"optima",76,
"daro",76,
"collapse",75,
"adventure",75,
"evolve",75,
"bin",75,
"moderate",75,
"toon",75,
"demon",75,
"rust",75,
"very close",75,
"soundcheck",74,
"hole",74,
"gurgling",74,
"devil",74,
"chorus",74,
"telemetry",74,
"ladder",74,
"recorded outdoors (od)",74,
"fruit",74,
"different",73,
"melee",73,
"foam",73,
"earth",73,
"hissing",73,
"drinks",73,
"walla",73,
"peugeot",73,
"spotted towhee",73,
"orchestral",72,
"over",72,
"resonate",72,
"level",72,
"letter",72,
"pass by",72,
"worker",72,
"sounds",72,
"historic",72,
"jewelry",72,
"presser",72,
"sony",72,
"time",71,
"screechy",71,
"oven",71,
"scared",71,
"subtly",71,
"ignite",71,
"year",71,
"muscle",71,
"vito",71,
"2009 gasoline",71,
"grand",70,
"motion picture",70,
"select",70,
"bike",70,
"reverberating",70,
"detail",70,
"pottery",70,
"tight",69,
"shatter",69,
"stones",69,
"bedroom",69,
"artificial intelligence",69,
"fashion",69,
"harness",69,
"oldtimer",69,
"dwarf",69,
"wild",68,
"reverberation",68,
"clown",68,
"branches",68,
"filtered",68,
"spacecraft",68,
"emergency",68,
"skin",68,
"take off",68,
"aeroplane",68,
"mono prop",68,
"layer",68,
"pallet",68,
"swipe",68,
"extend",68,
